Папандреу I-Person
. O

В O
свою O
очередь O
источники O
Reuters B-Org
знакомые O
с O
ситуацией O
полагают O
что O
причина O
ухода O
Ю B-Person
. O

По O
словам O
президента O
формулировка O
" O
Мексиканские O
Соединенные O
Штаты O
" O
была O
принята O
в O
1824г O
. O

7 O
февраля O
стало O
известно O
что O
с O
момента O
начала O
протестных O
выступлений O
в O
Египте B-Location
погибли O
около O
трехсот O
человек O
. O

В O
2006г O
. O

Первоначально O
ею O
управляли O
братья O
Дик B-Person
и O
Мак B-Person
Макдональды O
. O

Медведев B-Person
уволил O
пять O
генералов O
МВД B-Org
. O

Сторонники O
ее O
назначения O
предостерегали O
что O
отсутствие O
министра O
может O
осложнить O
борьбу O
с O
распространением O
свиного O
гриппа O
в O
стране O
. O

Киеве B-Location
. O

Директор O
по O
внешним O
коммуникациям O
холдинга O
Rambler B-Org
& O
Co I-Org
Матвей B-Person
Алексеев B-Person
говорит O
, O
что O
депутаты O
согласились O
приехать O
, O
встреча O
неоднократно O
откладывалась O
, O
но O
, O
вероятно O
, O
в O
понедельник O
, O
9 O
июня O
, O
все O
же O
состоится O
. O
" O

Напомним O
что O
Д B-Person
. O

Пару O
раз O
, O
правда O
, O
пока O
в O
доме O
и O
в O
парке O
шли O
строительные O
работы O
, O
он O
уезжал O
из O
деревни O
в O
путешествия O
, O
вошедшие O
в O
историю O
под O
названием O
« O
последних O
» O
( O
и O
подаривших O
нам O
виды O
Венеции B-Location
и O
Темзы O
) O
, O
но O
большую O
часть O
последнего O
сорокалетия O
он O
жил O
в O
этой O
красоте O
, O
любовался O
ею O
, O
рукотворной O
, O
наслаждался O
и O
описывал O
. O

Российские O
и O
американские O
власти O
договорились O
об O
обмене O
задержанных O
на O
людей O
осужденных O
за O
шпионаж O
в O
России B-Location
. O

Я O
попрошу O
его O
пересмотреть O
решение O
об O
увольнении O
. O

Эта O
тема O
приобрела O
политическое O
звучание O
а O
Саркисян B-Person
был O
вынужден O
оправдываться O
перед O
парламентом O
страны O
. O

С O
июня O
по O
ноябрь O
2003 O
года O
был O
ректором O
Российского O
государственного O
гуманитарного O
университета O
( O
РГГУ B-Org
) O
. O

Число O
убийств O
и O
покушений O
на O
убийство O
снизилось O
на O
8 O
% O
на O
11 O
% O
снизилось O
число O
разбоев O
на O
9 O
% O
число O
грабежей O
. O

Как O
сообщил O
О O
. O

Однако O
события O
развиваются O
таким O
образом O
что O
становится O
совершенно O
необходимым O
ответить O
хотя O
бы O
на O
некоторые O
из O
них O
. O

Он O
также O
напомнил O
что O
год O
назад O
председателем O
правления O
ФСК B-Org
должен O
был O
стать O
Сергей B-Person
Иванов B-Person
который O
до O
этого O
работал O
заместителем O
главы O
" O
Интер B-Org
РАО B-Org
ЕЭС B-Org
" O
а O
последний O
год O
занимает O
должность O
заместителя O
председателя O
правления O
ФСК B-Org
. O

валовая O
прибыль O
составила O
7 O
703 O
млрд O
руб O
. O

Другие O
иронизируют O
намекая O
на O
проступки O
бывшего O
мэра O
: O
" O
Тоже O
мне O
поступок O
настоящего O
градоначальника O
. O

Обратно O
американский O
посол O
и O
бригадный O
генерал O
Герберт B-Person
Уоссом B-Person
должны O
были O
лететь O
на O
собственном O
самолете O
Уоссома B-Location
но O
Зия B-Person
уль O
Хак O
убедил O
их O
лететь O
вместе O
с O
ним O
на O
его O
самолете O
Самолет O
набрал O
высоту O
занял O
свой O
коридор O
и O
взял O
курс O
на O
военный O
аэродром O
в O
Равалпинди B-Location
неподалеку O
от O
Исламабада B-Location
. O

Последний O
крупный O
горно O
металлургический O
проект O
HSBC B-Org
слияние O
BHP B-Org
Billiton B-Org
и O
Rio O
Tinto B-Org
. O

Параллельно O
будут O
дорабатываться O
концепция O
и O
модель O
ресурса O
, O
развиваться O
взаимодействие O
с O
другими O
проектами O
, O
в O
которых O
участвует O
Кацман B-Person
( O
в O
частности O
, O
с O
галереей O
Fotoloft B-Org
) O
. O

Я O
добровольно O
слагаю O
с O
себя O
свои O
полномочия O
" O
сказал O
он O
. O

Эдвард B-Person
Налбандян B-Person
встретился O
в O
Одессе B-Location
с O
главами O
МИД B-Org
Украины B-Location
и O
Молдавии B-Location
Министр O
иностранных O
дел O
Армении B-Location
Эдвард B-Person
Налбандян B-Person
в O
рамках O
заседания O
Совета B-Org
глав O
МИД B-Org
стран O
Организации O
черноморского O
экономического O
сотрудничества O
( O
ОЧЭС B-Org
) O
провел O
в O
Одессе B-Location
ряд O
двусторонних O
встреч O
. O

Лейбористы O
надеются O
что O
это O
назначение O
улучшит O
их O
репутацию O
передает O
Reuters B-Org
. O

Сиссе O
выдвигается O
от O
политического O
" O
Союза B-Org
за O
республику O
и O
демократию O
" O
основанного O
в O
2003 O
году O
. O

С O
сентября O
я O
буду O
свободным O
человеком O
" O
добавил O
он O
. O

Медведев B-Person
уволил O
шестерых O
генералов O
МВД B-Org
Президент O
России B-Location
Дмитрий B-Person
Медведев B-Person
уволил O
шестерых O
генералов O
МВД B-Org
РФ B-Location
сообщает O
РИА B-Org
Новости O
со O
ссылкой O
на O
пресс O
службу O
Кремля B-Location
. O

Обама B-Person
выдвинул O
на O
пост O
главы O
ФБР B-Org
республиканца O
Президент O
США B-Location
Барак B-Person
Обама B-Person
в O
пятницу O
21 O
июня O
выдвинул O
на O
пост O
главы O
ФБР B-Org
республиканца O
Джеймса B-Person
Коми B-Location
сообщает O
канал O
NBC B-Org
News I-Org
. O

Во O
вторник O
министерство O
финансов O
США B-Location
опубликовало O
образец O
подписи O
Джейкоба B-Person
Лью B-Person
который O
стал O
новым O
министром O
в O
начале O
этого O
года O
сменив O
предыдущего O
главу O
ведомства O
Тимоти B-Person
Гайтнера B-Person
. O

Силовики O
задержали O
несколько O
политиков O
в O
том O
числе O
руководителя O
аппарата O
П O
. O

Пушкина B-Person
, O
где O
представит O
фрагменты O
из O
оперы O
« O
Лазарь B-Person
» O
. O

При O
этом O
часть O
недвижимости O
жены O
Д B-Person
. O

Печёный B-Person
в O
своем O
выступлении O
на O
партийной O
конференции O
заявил O
что O
только O
прорывное O
развитие O
экономики O
позволит O
существенно O
повысить O
уровень O
жизни O
на O
Колыме B-Location
. O
" O

следственное O
управление O
сообщало O
что O
в O
рамках O
расследования O
уголовного O
дела O
по O
факту O
хищения O
бюджетных O
средств O
в O
сумме O
более O
29 O
млн O
руб O
. O

На O
последних O
выборах O
в O
Госдуму B-Org
прошедших O
в O
2007 O
году O
Сергей B-Person
Миронов B-Person
был O
избран O
депутатом O
как O
лидер O
списка O
" O
Справедливой B-Person
России B-Location
" O
однако O
тогда O
от O
мандата O
он O
отказался O
. O

Он O
обошел O
во O
втором O
туре O
голосования O
министра O
экономики O
торговли O
и O
промышленности O
Японии B-Location
Банри B-Person
Кайэду B-Person
. O

Следствие O
считает O
что O
вице O
президент O
фонда O
Алексей B-Person
Бельтюков B-Person
незаконно O
передал O
эти O
деньги O
депутату O
Госдумы B-Org
Илье B-Person
Пономареву B-Person
за O
лекции O
для O
" O
Сколково B-Org
" O
. O

Как O
заявила O
госсекретарь O
США B-Location
Хиллари B-Person
Клинтон B-Person
во O
время O
выступления O
в O
Нью B-Location
Дели B-Location
8 O
мая O
террористы O
проходят O
обучение O
в O
пакистанских O
лагерях O
а O
потом O
осуществляют O
теракты O
по O
всему O
миру O
передает O
USA B-Location
Today I-Org
. O

Яблоком O
раздора O
стала O
отставка O
министра O
внутренних O
дел O
Раймондаса B-Person
Палайтиса B-Person
. O

имеет O
более O
высокий O
рейтинг O
чем O
Джулия B-Person
Гиллард B-Person
избранная O
на O
этот O
пост O
позднее O
. O

Это O
добровольное O
решение O
. O

Напомним O
накануне O
все O
члены O
правительства O
Греции B-Location
подали O
заявления O
об O
отставке O
. O

В O
школах O
Астраханской B-Location
области O
запретят O
одежду O
с O
религиозной O
атрибутикой O
Власти O
Астраханской B-Location
области O
вводят O
запрет O
на O
ношение O
в O
школах O
одежды O
подчеркивающей O
религиозные O
предпочтения O
. O

В O
1990 O
1993гг O
. O

Кроме O
того O
Понта B-Person
вынужден O
был O
оправдываться O
от O
обвинений O
в O
плагиате O
. O

Коммунисты O
которые O
традиционно O
удерживали O
за O
собой O
эти O
позиции O
вряд O
ли O
отдадут O
ему O
их O
без O
боя O
. O

Отметим O
что O
информация O
о O
планируемой O
отставке O
П O
. O

Выпал O
целый O
рабочий O
день O
. O

В O
феврале O
этого O
года O
регион O
не O
смог O
вовремя O
провести O
платеж O
по O
кредиту O
ВТБ B-Org
. O

Вспомните O
даже O
во O
время O
СССР B-Location
геометрия O
например O
преподавалась O
по O
двум O
пособиям O
. O

КПРФ B-Org
выдвинула O
И O
. O

На O
этой O
должности O
Эберсман B-Person
проработал O
до O
апреля O
2009 O
года O
когда O
Roche B-Org
Holding I-Org
купил O
Genentech B-Org
. O

Группа O
" O
друзей O
Сирии B-Location
" O
международный O
дипломатический O
институт O
периодически O
собирающийся O
для O
обсуждения O
ситуации O
в O
Сирии B-Location
за O
пределами O
Совета B-Org
Безопасности O
ООН B-Org
. O

Кроме O
того O
Украина B-Location
в O
2013 O
году O
должна O
выплатить O
МВФ B-Org
около O
$ O
5 O
63 O
млрд O
. O

« O
Китайский O
народ O
и O
российский O
народ O
взаимно O
поддерживали O
, O
помогали O
друг O
другу O
, O
они O
соратники O
в O
войне O
против O
фашизма O
и O
милитаризма O
» O
, O
— O
отметил O
председатель O
КНР B-Location
, O
подчеркнув O
, O
что O
граждане O
двух O
стран O
« O
будут O
рука O
об O
руку O
и O
плечом O
к O
плечу O
защищать O
мир O
, O
способствовать O
развитию O
и O
вносить O
свой O
вклад O
в O
обеспечение O
прочного O
мира O
на O
планете O
и O
прогресса O
всего O
человечества O
» O
. O

Он O
обошел O
члена O
парламента O
и O
жену O
экс O
президента O
страны O
Мирланд B-Person
Манига B-Person
у O
которой O
более O
31 O
% O
голосов O
избирателей O
. O

Владимир B-Person
Лебедев B-Person
стал O
нижегородским O
вице O
губернатором O
. O
Вчера O
законодательное O
собрание O
Нижегородской B-Location
области O
утвердило O
кандидатуру O
Владимира B-Person
Лебедева B-Person
на O
должность O
заместителя O
главы O
региона O
по O
жилищно O
коммунальному O
хозяйству O
( O
ЖКХ O
) O
и O
энергетике O
. O

В O
части O
гражданской O
продукции O
корпорация O
производит O
самолеты O
Ил O
96 O
Ту O
204 O
/ O
214 O
Ан B-Person
148 O
и O
Sukhoi O
SuperJet B-Org
100 O
. O

Но O
, O
находясь O
под O
постоянным O
давлением O
со O
сторона O
прессы O
, O
принял O
это O
решение O
уже O
теперь O
. O

Медведев B-Person
отправил O
в O
отставку O
губернатора O
Ставрополья B-Location
Президент O
России B-Location
Дмитрий B-Person
Медведев B-Person
досрочно O
отправил O
в O
отставку O
губернатора O
Ставропольского B-Location
края O
Валерия B-Person
Гаевского B-Person
сообщает O
пресс O
служба O
Кремля B-Location
. O

Мирный B-Person
договор O
между O
Россией B-Location
и O
Японией B-Location
не O
заключен O
еще O
со O
времен O
Второй O
мировой O
войны O
. O

Однако O
его O
отец O
назвал O
эти O
слухи O
" O
чушью O
" O
. O

Пресс O
служба O
МВД B-Org
сообщила O
что O
расследование O
по O
данному O
факту O
проводит O
прокуратура O
Бишкека B-Location
. O

Украинское O
издание O
сочинило O
интервью O
с O
Лукашенко B-Person
Ни B-Person
до O
официального O
визита O
в O
Киев B-Location
17 O
18 O
июня O
ни O
во O
время O
визита O
Александр B-Person
Лукашенко B-Person
не O
давал O
эксклюзивного O
интервью O
украинскому O
изданию O
" O
Известия B-Org
в O
Украине B-Location
" O
об O
этом O
21 O
июня O
белорусскому O
порталу O
tut O
. O

Чиновник O
собирался O
покинуть O
должность O
после O
принятия O
нового O
закона O
о O
выборах O
губернаторов O
который O
27 O
апреля O
был O
одобрен O
в O
Совете B-Org
Федерации I-Org
. O

Медведев B-Person
провел O
перестановки O
в O
армии O
: O
уволены O
3 O
генерала O
Сегодня O
президент O
России B-Location
Дмитрий B-Person
Медведев B-Person
провел O
очередные O
кадровые O
перестановки O
в O
руководстве O
Министерства O
обороны O
. O

Алексеев B-Person
был O
назначен O
на O
эту O
должность O
самим O
Медведевым B-Person
в O
начале O
августа O
2010 O
года O
. O

М B-Person
. O

Л B-Person
. O

Сирийский O
посол O
также O
поддержал O
решение O
ливанского O
движения O
" O
Хизбалла B-Org
" O
оказать O
содействие O
сирийской O
армии O
передает O
Press I-Org
TV I-Org
. O
" O

Захаров B-Person
работал O
в O
Басманной B-Location
межрайонной O
прокуратуре O
Москвы B-Location
. O
" O

Мы O
будем O
работать O
, O
как O
и O
раньше O
. O

В O
их O
числе O
: O
ОАО B-Org
« O
НТВ-Плюс B-Org
» O
, O
ЗАО B-Org
« O
Акадо-Столица B-Location
» O
и O
ОАО B-Org
« O
Вымпел-Коммуникации B-Org
» O
( O
бренд O
« O
Билайн B-Org
» O
) O
. O

В O
итоге O
это O
письмо O
было O
опубликовано O
за O
подписью O
гендиректора O
Тима B-Person
Кука B-Person
. O

По O
информации O
посольства O
до O
прибытия O
в O
Грузию B-Location
Александра B-Person
Холл B-Person
работала O
в O
МИД B-Org
Великобритании B-Location
над O
вопросами O
Южной O
и O
Юго B-Person
Восточной O
Азии B-Location
Средней O
Азии B-Location
Латинской O
Америки B-Location
и O
ООН B-Org
. O

Однако O
опрос O
общественного O
мнения O
проведенный O
вещательной O
компанией O
ABC B-Org
показал O
что O
рейтинг O
отдельных O
действий O
Обамы B-Person
например O
в O
сфере O
экономики O
здравоохранения O
а O
также O
в O
том O
что O
касается O
вооруженных O
конфликтов O
упал O
ниже O
50 O
процентов O
. O

О O
причинах O
увольнения O
тренера O
ничего O
не O
сообщается O
. O

Об O
этом O
военачальник O
Североатлантического B-Org
альянса O
сообщил O
в O
интервью O
Associated B-Org
Press I-Org
по O
окончании O
трехдневного O
визита O
в O
Афганистан B-Location
. O

В O
июне O
2009 O
года O
назначен O
заместителем O
директора O
Федеральной B-Org
службы O
по O
оборонному O
заказу O
. O

По O
закону O
в O
течение O
30 O
дней O
в O
парламенте O
должно O
было O
состояться O
голосование O
о O
доверии O
кабинету O
министров O
. O

Все O
разработки O
представленные O
на O
ПМЭФ O
Сколково B-Org
имеют O
практический O
характер O
. O

Эти O
слова O
нового O
старого O
главы O
республики O
внушают O
оптимизм O
и O
веру O
в O
то O
, O
что O
Чечня B-Location
продолжить O
путь O
мирного O
строительства O
и O
добрососедства O
, O
если O
и O
далее O
будет O
своевременно O
получать O
необходимых O
средства O
, O
которые O
зарабатывают O
другие O
российские O
регионы O
. O

На O
439 O
депутатских O
мандатов O
претендуют O
партии O
объединившиеся O
в O
две O
коалиции O
передает O
ВВС B-Org
. O

Уэррити B-Person
даже O
раздавал O
визитки O
где O
было O
указано O
что O
он O
является O
советником O
Л B-Person
. O

Навальный B-Person
уже O
давно O
покинул O
пост O
советника O
губернатора O
и O
занялся O
борьбой O
с O
коррупцией O
теперь O
от O
Н O
. O

Через O
несколько O
дней O
после O
исключения O
из O
" O
Единой O
России B-Location
" O
стало O
известно O
что O
против O
мэра O
возбудили O
уголовное O
дело O
по O
статье O
о O
превышении O
полномочий O
. O

Собянин B-Person
утвердил O
новый O
состав O
столичного O
правительства O
Мэр O
столицы O
Сергей B-Person
Собянин B-Person
определился O
с O
составом O
нового O
правительства O
города O
. O

29 O
декабря O
2009г O
. O

Прежний O
глава O
города O
Виктор B-Person
Сафьянов B-Person
был O
отправлен O
в O
отставку O
в O
конце O
января O
. O

Шульца B-Person
отдали O
свои O
голоса O
387 O
из O
670 O
голосовавших O
. O

regnum O
. O

Во O
время O
встречи O
министр O
финансов O
США B-Location
Тимоти B-Person
Гайтнер B-Person
в O
очередной O
раз O
указал O
на O
необходимость O
повышения O
властями O
КНР B-Location
национальной O
валюты O
этой O
страны O
. O

Ю B-Person
. O

Как O
Андрей B-Person
Воробьев B-Person
стал O
врио O
губернатора O
Московской B-Location
области O
На O
пост O
и O
. O

По O
некоторым O
данным O
в O
настоящего O
время O
Владимир B-Person
Мединский B-Person
находится O
в O
гостях O
у O
вице O
губернатора O
Санкт B-Location
Петербурга B-Location
курирующего O
вопросы O
культуры O
Василия B-Person
Кичеджи B-Person
. O

Сам O
Рахимов B-Person
который O
сейчас O
занимает O
пост O
председателя O
совета O
благотворительного O
фонда O
" O
Урал B-Location
" O
свое O
решение O
не O
прокомментировал O
. O

Д B-Person
. O

Объясняя O
своё O
решение O
заместитель O
начальника O
ФКУ B-Org
" O
Севзапуправтодор B-Org
" O
Игорь B-Person
Юренков B-Person
сказал O
: O
" O
Предложенное O
компанией O
" O
Трансстрой B-Org
" O
снижение O
цены O
было O
конечно O
важным O
фактором O
но O
не O
оказало O
решающего O
воздействия O
на O
решение O
так O
как O
по O
закону O
помимо O
цены O
очень O
важны O
сроки O
и O
опыт O
строительства O
подобных O
объектов O
. O

Из-за O
того O
, O
что O
стороны O
обвиняют O
друг O
друга O
в O
несоблюдении O
пункта O
минских O
договоренностей O
о O
прекращении O
огня O
, O
и O
ДНР B-Org
, O
и O
Киев B-Location
отказываются O
начать O
отвод O
тяжелых O
вооружений O
от O
линии O
фронта O
. O

Это O
особенно O
важно O
. O

Бывший O
вице O
мэр O
Иркутска B-Location
Дмитрий B-Person
Разумов B-Person
стал O
председателем O
комитета O
по O
транспортной O
политике O
и O
ЖКХ O
правительства O
Ленинградской B-Location
области O
сообщают O
областные O
власти O
. O
" O

Новый O
восьмой O
по O
счету O
федеральный O
округ O
был O
создан O
указом O
президента O
ранее O
19 O
января O
. O

00 O
мск O
) O
в O
Пражском O
Граде O
председателя O
правительства O
Иржи B-Person
Руснока B-Person
который O
передаст O
президенту O
просьбу O
об O
отставке O
" O
сказала O
Бурианова B-Person
. O

Заседание O
парламентской O
фракции O
" O
Единая B-Org
Россия B-Location
" O
состоится O
в O
понедельник O
19 O
декабря O
. O

< O
В O
ходе O
расследования O
данного O
уголовного O
дела O
собраны O
достаточные O
данные O
свидетельствующие O
о O
причастности O
к O
причинению O
ущерба O
данному O
предприятию O
председателя O
правительства O
Республики O
Саха B-Person
( O
Якутия B-Location
) O
Егора B-Person
Борисова B-Person
> O
говорится O
в O
официальном O
заявлении O
следственного O
управления O
. O

Он O
курировал O
дошкольное O
и O
школьное O
образование O
. O

Дейли B-Person
пробыл O
в O
должности O
главы O
администрации O
Белого B-Person
дома O
всего O
год O
тогда O
как O
средний O
срок O
полномочий O
чиновников O
на O
этом O
посту O
составляет O
чуть O
менее O
2 O
5 O
лет O
. O

Беланович I-Person
принял O
решение O
покинуть O
свой O
пост O
по O
собственному O
желанию O
. O
" O

Николай B-Person
Васильев B-Person
сообщил O
журналистам O
что O
на O
выборы O
вместе O
с O
представителями O
федерального O
Минсельхоза B-Org
прибыли O
и O
сотрудники O
безопасности O
аграрного O
ведомства O
России B-Location
. O

Напомним O
как O
сообщало O
ИА B-Org
REGNUM B-Org
18 O
июня O
премьер O
министр O
Украины B-Location
Николай B-Person
Азаров B-Person
заявил O
что O
российский O
газ O
который O
на O
Украину B-Location
поставляет O
немецкая O
компания O
RWE B-Org
обходится O
на O
$ O
100 O
дешевле O
чем O
поставки O
от O
" O
Газпрома B-Org
" O
. O

Она O
принимала O
непосредственное O
участие O
в O
решении O
вопросов O
поступающих O
от O
населения O
региона O
по O
" O
горячей O
линии O
" O
губернатора O
а O
также O
курировала O
вопросы O
переселения O
жителей O
округа O
в O
другие O
регионы O
. O

Ф O
. O

Палестинские O
СМИ B-Org
прокомментировали O
отставку O
министра O
обороны O
Израиля B-Location
Эхуда B-Person
Барака B-Person
и O
спрогнозировали O
новые O
увольнения O
высших O
чинов O
страны O
. O

В O
течение O
60 O
дней O
они O
должны O
утвердить O
кандидатуры O
еще O
42 O
представителей O
общероссийских O
общественных O
объединений O
. O

Сегодня O
утром O
неизвестные O
расстреляли O
машину O
начальника O
управления O
информационной O
политики O
и O
пресс O
службы O
президента O
Дагестана B-Location
Гаруна B-Person
Курбанова B-Person
. O

В O
отличие O
от O
сервисов O
, O
средство O
массовой O
информации O
блокировать O
, O
закрыть O
или O
каким-то O
образом O
вынести O
ему O
предупреждение O
, O
как O
это O
было O
с O
Lenta.ru B-Org
, O
можно O
в O
один O
счет O
. O

Основной O
же O
состав O
кабинета O
остался O
неизменным O
. O

Чем O
известен O
Нельсон B-Person
Мандела B-Person
Известный O
борец O
против O
режима O
апартеида O
он O
провел O
в O
тюрьме O
27 O
лет O
. O

Новым O
президентом O
Перу B-Location
становится O
националист O
О O
. O

о O
. O

Позднее O
помощник O
президента O
России B-Location
Аркадий B-Person
Дворкович B-Person
назвал O
в O
качестве O
официальной O
причины O
отставки O
Федорова B-Person
неудовлетворительную O
работу O
руководства O
ОАК B-Org
по O
внедрению O
в O
отрасли O
инновационных O
решений O
. O

Один O
из O
собеседников O
издания O
хорошо O
знавший O
В O
. O

Космос O
В O
воскресенье O
, O
рано O
утром O
9 O
апреля O
, O
в O
Казахстане B-Location
приземлился O
« O
Союз I-Org
ТМА-7 O
» O
. O

Политолог O
Юрий B-Person
Чумичев B-Person
считает O
что O
пока O
в O
Петропавловске B-Location
Камчатском B-Location
нет O
законного O
способа O
сместить O
с O
поста O
всенародно O
избранного O
мэра O
. O

Однажды O
ранней O
весной O
его O
нашли O
без O
чувств O
на O
могиле O
супруги O
. O

После O
отставки O
начальника O
Генштаба B-Org
являющегося O
главкомом O
вооруженных O
сил O
Турции B-Location
на O
должность O
и O
. O

Она O
отметила O
что O
в O
основном O
полицейским O
причинен O
вред O
здоровью O
легкой O
тяжести O
порезы O
ушибы O
один O
из O
сотрудников O
надышался O
продуктами O
горения O
. O

Инициатором O
изменений O
выступили O
Барак B-Person
Обама B-Person
и O
Роберт B-Person
Гейтс B-Person
. O

Валерий B-Person
Хабурдзания B-Person
стал O
почетным O
председателем O
коалиции O
" O
Евразийский O
выбор O
Грузия B-Location
" O
Бывший O
министр O
безопасности O
Грузии B-Location
Валерий B-Person
Хабурдзания B-Person
стал O
почетным O
председателем O
коалиции O
неправительственных O
организаций O
" O
Евразийский O
выбор O
Грузия B-Location
" O
. O

Между O
тем O
противники O
Сибелиус B-Person
указывали O
что O
она O
допускала O
ошибки O
при O
уплате O
федерального O
подоходного O
налога O
в O
2005 O
2006 O
и O
2007 O
годах O
. O

Напомним O
, O
ведущие O
актеры O
Таганки B-Location
накануне O
созвали O
пресс-конференцию O
, O
на O
которой O
пригласили O
Юрия B-Person
Любимова B-Person
вернуться O
. O

кв O
. O

Главным O
образом O
этот O
контроль O
касался O
расходования O
выделяемых O
из O
федерального O
бюджета O
денег O
. O

Согласно O
статистике O
Министерства O
внутренних O
дел O
в O
период O
с O
января O
2004 O
г O
. O

Масштабные O
перестановки O
не O
коснулись O
министерства O
финансов O
главой O
которого O
остался O
Йоргос B-Person
Папаконстантину B-Person
. O

Или O
же O
с O
другими O
милиционерами O
МВД B-Org
Украины B-Location
, O
которые O
почему-то O
методично O
защищают O
сепаратистов O
, O
как O
это O
было O
в O
Одессе B-Location
или O
в O
Луганске B-Location
. O

Обамы B-Person
отправлен O
в O
отставку O
В O
США B-Location
отправлен O
в O
отставку O
глава O
администрации O
Белого B-Person
дома O
Уильям B-Person
Дейли B-Person
. O

Леонид B-Person
Меламед B-Person
Президент O
АФК B-Org
< O
Система O
> O
отметил O
: O
" O
В O
первом O
квартале O
2009 O
года O
в O
Корпорации O
произошел O
ряд O
событий O
существенным O
образом O
повлиявших O
на O
развитие O
бизнеса O
АФК B-Org
< O
Система O
> O
. O

Женат O
имеет O
двух O
детей O
. O

Причины O
отставки O
Владимира B-Person
Губанова B-Person
который O
также O
является O
главой O
комитета O
меджлиса O
( O
парламента O
) O
Туркменистана B-Location
по O
науке O
образованию O
и O
культуре O
не O
уточняются O
. O

Небо O
над O
Тегусигальпой B-Location
патрулируют O
боевые O
вертолеты O
. O

Новым O
командующим O
войсками O
Сибирского B-Person
военного O
округа O
назначен O
генерал O
лейтенант O
Владимир B-Person
Чиркин B-Person
. O

является O
мэром O
г O
. O

В O
своем O
микроблоге O
Twitter B-Org
он O
отметил O
что O
высказанные O
Дж O
. O

Им O
принадлежит O
73 O
процента O
мировых O
запасов O
газа O
при O
этом O
они O
обеспечивают O
42 O
процента O
его O
мировой O
добычи O
. O

Для O
уволенного O
прокурора O
Подмосковья B-Location
нашли O
новую O
работу O
Александр B-Person
Мохов B-Person
снятый O
с O
должности O
прокурора O
Подмосковья B-Location
может O
стать O
заместителем O
Московского O
межрегионального O
транспортного O
прокурора O
. O

Назаровым B-Person
сети O
подпольных O
казино O
в O
Подмосковье B-Location
. O

Международная O
амнистия O
( O
Amnesty B-Org
International I-Org
) O
обвиняет O
США B-Location
в O
двойном O
подходе O
. O

Из O
бакалеи O
в O
список O
вошли O
пшеничная O
мука O
, O
рис O
, O
гречневая O
крупа O
, O
макароны O
, O
подсолнечное O
масло O
, O
сахар O
и O
соль O
, O
чай O
, O
вода O
. O

Кроме O
того O
учитывалось O
что O
значительная O
часть O
свидетелей O
по O
уголовному O
делу O
состоят O
в O
прямой O
служебной O
зависимости O
от O
министра O
а O
также O
то O
что O
в O
число O
лиц O
причастных O
к O
подготовке O
документов O
для O
получения O
государственной O
субсидии O
ЗАО B-Org
" O
ПО O
" O
Сибтяжмаш B-Org
" O
входят O
действующие O
работники O
Министерства O
промышленности O
и O
энергетики O
Красноярского B-Location
края O
. O

Брянского B-Person
сенатора O
сместили O
за O
прогулы O
заседаний O
" O
Единой O
России B-Location
" O
Брянская B-Location
областная O
дума O
прекратила O
полномочия O
сенатора O
от O
этого O
региона O
Эдуарда B-Person
Василишина B-Person
сообщает O
" O
Интерфакс B-Org
" O
со O
ссылкой O
на O
главу O
фракции O
" O
Единой O
России B-Location
" O
в O
местном O
парламенте O
Михаила B-Person
Подобедова B-Person
. O

Отвечать O
за O
жилищную O
политику O
перед O
президентом O
будет O
И O
. O

Всего O
в O
связи O
с O
аварией O
теплохода O
" O
Булгария O
" O
изначально O
были O
привлечены O
к O
дисциплинарной O
ответственности O
за O
ненадлежащее O
исполнение O
служебных O
обязанностей O
четыре O
должностных O
лица O
Волжского B-Location
управления O
: O
заместитель O
начальника O
данного O
управления O
начальник O
Казанского B-Person
линейного O
отдела O
и O
два O
государственных O
инспектора O
. O

ЦБ B-Org
намерен O
составить O
список O
системно O
значимых O
кредитных O
организаций O
в O
конце O
2013 O
начале O
2014 O
года O
. O

Напомним O
27 O
апреля O
2012г O
. O

Ярмарка O
ставит O
своей O
целью O
обнаружить O
и O
показать O
разнообразие O
идей O
и O
стратегий O
. O

Корпорация O
призвана O
как O
раз O
наладить O
эту O
работу O
и O
сделать O
наши O
проекты O
привлекательными O
для O
инвесторов O
" O
подчеркнул O
Владимир B-Person
Илюхин B-Person
. O

посетит O
Иорданское B-Location
Хашимитское B-Location
Королевство O
и O
Палестинскую O
национальную O
автономию O
. O

В O
России B-Location
новые O
поправки O
ввели O
возможности O
для O
инвесторов O
возвратить O
свои O
вложения O
. O

Как O
сообщалось O
ранее O
в O
начале O
совещания O
Медведев B-Person
поручил O
Нургалиеву B-Person
" O
тряхнуть O
" O
транспортную O
милицию O
с O
целью O
обеспечения O
безопасности O
. O

По O
данным O
интернет-издания O
Techcrunch O
, O
в O
марте O
этого O
года O
фонд O
Elevation O
Partners I-Org
также O
прикупил O
акции O
социальной O
сети O
, O
потратив O
на O
приобретение O
0,7 O
% O
90 O
млн O
долларов O
. O

По O
мнению O
Кудрявцева B-Person
при O
